Index,Label
101,Non-USF
102,USF
103,USF
104,USF
105,USF
106,USF
107,USF
108,USF
109,USF
110,USF
111,USF
112,Non-USF
113,USF
114,USF
115,USF
116,Non-USF
117,USF
118,USF
119,USF
120,USF
121,USF
122,USF
123,Non-USF
124,USF
125,USF
126,USF
127,USF
128,USF
129,USF
130,Non-USF
131,Non-USF
132,Non-USF
133,Non-USF
134,Non-USF
135,USF
136,Non-USF
137,Non-USF
138,Non-USF
139,USF
140,USF
141,USF
142,Non-USF
143,USF
144,USF
145,USF
146,USF
147,USF
148,Non-USF
149,USF
150,USF
151,USF
152,USF
153,USF
154,Non-USF
155,USF
156,USF
157,USF
158,USF
159,USF
160,USF
161,USF
162,USF
163,USF
164,USF
165,USF
166,USF
167,Non-USF
168,USF
169,USF
170,USF
171,USF
172,USF
173,USF
174,USF
175,USF
176,USF
177,USF
178,USF
179,USF
180,Non-USF
181,USF
182,USF
183,USF
184,Non-USF
185,USF
186,USF
187,USF
188,USF
189,USF
190,USF
191,USF
192,USF
193,Non-USF
194,USF
195,USF
196,USF
197,USF
198,USF
199,USF
200,USF
201,USF
202,USF
203,USF
204,USF
205,USF
206,USF
207,USF
208,USF
209,USF
210,USF
211,USF
212,USF
213,USF
214,USF
215,USF
216,USF
217,USF
218,USF
219,USF
220,Non-USF
221,USF
222,USF
223,USF
224,USF
225,USF
226,USF
227,USF
228,USF
229,USF
230,USF
231,USF
232,USF
233,Non-USF
234,Non-USF
235,USF
236,Non-USF
237,Non-USF
238,Non-USF
239,Non-USF
240,Non-USF
241,Non-USF
242,Non-USF
243,Non-USF
244,Non-USF
245,Non-USF
246,USF
247,Non-USF
248,Non-USF
249,Non-USF
250,Non-USF
251,Non-USF
252,Non-USF
253,Non-USF
254,Non-USF
255,Non-USF
256,Non-USF
257,USF
258,Non-USF
259,Non-USF
260,Non-USF
261,Non-USF
262,Non-USF
263,Non-USF
264,Non-USF
265,Non-USF
266,Non-USF
267,Non-USF
268,USF
269,Non-USF
270,Non-USF
271,USF
272,Non-USF
273,Non-USF
274,Non-USF
275,Non-USF
276,Non-USF
277,Non-USF
278,Non-USF
279,USF
280,Non-USF
281,Non-USF
282,Non-USF
283,Non-USF
284,Non-USF
285,Non-USF
286,Non-USF
287,Non-USF
288,Non-USF
289,Non-USF
290,Non-USF
291,Non-USF
292,Non-USF
293,Non-USF
294,Non-USF
295,Non-USF
296,Non-USF
297,Non-USF
298,Non-USF
299,Non-USF
300,Non-USF
301,USF
302,Non-USF
303,Non-USF
304,Non-USF
305,Non-USF
306,Non-USF
307,USF
308,USF
309,USF
310,USF
311,USF
312,USF
313,USF
314,USF
315,USF
316,USF
317,USF
318,Non-USF
319,USF
320,USF
321,USF
322,Non-USF
323,Non-USF
324,USF
325,USF
326,USF
327,USF
328,USF
329,USF
330,USF
331,USF
332,USF
333,USF
334,Non-USF
335,Non-USF
336,USF
337,USF
338,USF
339,USF
340,USF
341,USF
342,Non-USF
343,USF
344,USF
345,USF
346,USF
347,USF
348,Non-USF
349,USF
350,USF
351,USF
352,USF
353,USF
354,USF
355,USF
356,USF
357,USF
358,USF
359,USF
360,USF
361,Non-USF
362,USF
363,USF
364,USF
365,USF
366,USF
367,USF
368,USF
369,USF
370,USF
371,USF
372,USF
373,USF
374,Non-USF
375,USF
376,USF
377,USF
378,USF
379,USF
380,USF
381,USF
382,USF
383,USF
384,USF
385,USF
386,Non-USF
387,USF
388,USF
389,USF
390,USF
391,USF
392,USF
393,USF
394,USF
395,USF
396,USF
397,USF
398,Non-USF
399,Non-USF
400,Non-USF
