Index,Label
101,Non USF
102,Non USF
103,Non USF
104,Non USF
105,Non USF
106,Non USF
107,Non USF
108,Non USF
109,Non USF
110,Non USF
111,Non USF
112,Non USF
113,Non USF
114,Non USF
115,Non USF
116,Non USF
117,Non USF
118,Non USF
119,Non USF
120,Non USF
121,Non USF
122,Non USF
123,Non USF
124,Non USF
125,Non USF
126,USF
127,USF
128,USF
129,Non USF
130,USF
131,USF
132,USF
133,USF
134,USF
135,Non USF
136,USF
137,USF
138,USF
139,USF
140,USF
141,Non USF
142,USF
143,USF
144,USF
145,USF
146,Non USF
147,USF
148,USF
149,USF
150,USF
151,USF
152,USF
153,Non USF
154,USF
155,USF
156,USF
157,Non USF
158,USF
159,USF
160,USF
161,USF
162,USF
163,USF
164,USF
165,Non USF
166,USF
167,USF
168,Non USF
169,USF
170,USF
171,USF
172,USF
173,USF
174,USF
175,USF
176,USF
177,Non USF
178,USF
179,Non USF
180,USF
181,USF
182,USF
183,USF
184,USF
185,USF
186,USF
187,USF
188,USF
189,Non USF
190,Non USF
191,USF
192,USF
193,USF
194,USF
195,USF
196,USF
197,USF
198,USF
199,USF
200,USF
201,Non USF
202,Non USF
203,USF
204,USF
205,USF
206,USF
207,USF
208,USF
209,USF
210,USF
211,USF
212,Non USF
213,Non USF
214,USF
215,Non USF
216,USF
217,USF
218,USF
219,USF
220,USF
221,USF
222,USF
223,USF
224,Non USF
225,USF
226,USF
227,Non USF
228,USF
229,USF
230,USF
231,USF
232,USF
233,USF
234,USF
235,Non USF
236,USF
237,USF
238,USF
239,Non USF
240,Non USF
241,USF
242,USF
243,USF
244,USF
245,USF
246,Non USF
247,USF
248,USF
249,USF
250,USF
251,USF
252,Non USF
253,USF
254,USF
255,USF
256,USF
257,Non USF
258,USF
259,USF
260,USF
261,USF
262,USF
263,USF
264,Non USF
265,USF
266,USF
267,USF
268,Non USF
269,USF
270,USF
271,USF
272,USF
273,USF
274,USF
275,USF
276,Non USF
277,USF
278,USF
279,Non USF
280,USF
281,USF
282,USF
283,USF
284,USF
285,USF
286,USF
287,USF
288,Non USF
289,USF
290,Non USF
291,USF
292,USF
293,USF
294,USF
295,USF
296,USF
297,USF
298,USF
299,USF
300,Non USF
301,Non USF
302,USF
303,USF
304,USF
305,USF
306,USF
307,USF
308,USF
309,USF
310,USF
311,USF
312,Non USF
313,Non USF
314,USF
315,USF
316,USF
317,USF
318,USF
319,USF
320,USF
321,USF
322,USF
323,Non USF
324,Non USF
325,USF
326,Non USF
327,USF
328,USF
329,USF
330,USF
331,USF
332,USF
333,USF
334,USF
335,Non USF
336,USF
337,USF
338,Non USF
339,USF
340,USF
341,USF
342,USF
343,USF
344,USF
345,USF
346,Non USF
347,USF
348,USF
349,USF
350,Non USF
351,USF
352,USF
353,USF
354,USF
355,USF
356,USF
357,Non USF
358,USF
359,USF
360,Non USF
361,Non USF
362,Non USF
363,Non USF
