Index,Label
101,Non USF
102,Non USF
103,Non USF
104,USF
105,USF
106,USF
107,USF
108,USF
109,USF
110,USF
111,USF
112,USF
113,Non USF
114,USF
115,Non USF
116,Non USF
117,USF
118,USF
119,USF
120,USF
121,USF
122,USF
123,USF
124,USF
125,USF
126,USF
127,USF
128,USF
129,USF
130,USF
131,USF
132,USF
133,USF
134,USF
135,USF
136,USF
137,USF
138,USF
139,Non USF
140,USF
141,USF
142,USF
143,USF
144,USF
145,USF
146,Non USF
147,USF
148,USF
149,USF
150,USF
151,Non USF
152,USF
153,USF
154,USF
155,USF
156,USF
157,USF
158,USF
159,USF
160,USF
161,USF
162,USF
163,Non USF
164,USF
165,USF
166,USF
167,USF
168,USF
169,USF
170,USF
171,USF
172,USF
173,USF
174,USF
175,Non USF
176,USF
177,USF
178,USF
179,USF
180,USF
181,USF
182,USF
183,USF
184,USF
185,USF
186,USF
187,Non USF
188,USF
189,USF
190,USF
191,USF
192,USF
193,USF
194,USF
195,USF
196,USF
197,USF
198,USF
199,Non USF
200,USF
201,USF
202,USF
203,USF
204,USF
205,USF
206,USF
207,USF
208,USF
209,USF
210,USF
211,Non USF
212,Non USF
213,USF
214,USF
215,USF
216,USF
217,USF
218,USF
219,USF
220,USF
221,USF
222,USF
223,Non USF
224,USF
225,USF
226,USF
227,USF
228,USF
229,USF
230,USF
231,USF
232,Non USF
233,USF
234,USF
235,USF
236,USF
237,USF
238,Non USF
239,Non USF
240,Non USF
241,Non USF
242,Non USF
243,Non USF
244,Non USF
245,Non USF
246,Non USF
247,Non USF
248,Non USF
249,USF
250,USF
251,USF
252,USF
253,USF
254,USF
255,USF
256,USF
257,USF
258,USF
259,Non USF
260,USF
261,USF
262,USF
263,USF
264,USF
265,Non USF
266,Non USF
267,Non USF
268,USF
269,Non USF
270,Non USF
271,Non USF
272,Non USF
273,Non USF
274,Non USF
275,Non USF
276,Non USF
277,Non USF
278,Non USF
279,USF
280,Non USF
281,Non USF
282,Non USF
283,Non USF
284,Non USF
285,Non USF
286,Non USF
287,Non USF
288,Non USF
289,Non USF
290,USF
291,Non USF
292,Non USF
293,Non USF
294,Non USF
295,Non USF
296,Non USF
297,Non USF
298,Non USF
299,Non USF
300,Non USF
301,USF
302,Non USF
303,Non USF
304,Non USF
305,Non USF
306,Non USF
307,Non USF
308,Non USF
309,Non USF
310,Non USF
311,Non USF
312,USF
313,Non USF
314,Non USF
315,Non USF
316,Non USF
317,Non USF
318,Non USF
319,Non USF
320,Non USF
321,Non USF
322,Non USF
323,Non USF
324,USF
325,Non USF
326,Non USF
327,Non USF
328,Non USF
329,Non USF
330,Non USF
331,Non USF
332,Non USF
333,Non USF
334,Non USF
335,USF
336,Non USF
337,Non USF
338,Non USF
339,Non USF
340,Non USF
341,USF
342,USF
343,USF
344,Non USF
345,USF
346,USF
347,USF
348,USF
349,USF
350,Non USF
351,USF
352,USF
353,USF
354,USF
355,USF
356,Non USF
357,USF
358,USF
359,USF
360,USF
361,Non USF
362,USF
363,USF
364,USF
365,USF
366,USF
367,USF
368,Non USF
369,USF
370,USF
371,USF
372,Non USF
373,USF
374,USF
375,USF
376,USF
377,USF
378,USF
379,USF
380,Non USF
381,USF
382,USF
383,Non USF
384,USF
385,USF
386,USF
387,USF
388,USF
389,USF
390,USF
391,USF
392,Non USF
393,USF
394,Non USF
395,USF
396,USF
397,USF
398,USF
399,USF
400,USF
401,USF
402,USF
403,USF
404,Non USF
405,Non USF
406,USF
407,USF
408,USF
409,USF
410,USF
411,USF
412,USF
413,USF
414,USF
415,USF
416,USF
417,USF
418,USF
419,USF
420,USF
421,Non USF
422,Non USF
423,Non USF
424,Non USF
425,Non USF
426,Non USF
427,Non USF
428,Non USF
429,Non USF
430,Non USF
431,Non USF
432,Non USF
433,Non USF
434,Non USF
435,Non USF
436,Non USF
437,Non USF
438,Non USF
439,Non USF
440,Non USF
441,Non USF
442,Non USF
443,Non USF
444,Non USF
445,Non USF
446,Non USF
447,Non USF
448,Non USF
449,Non USF
450,Non USF
