Index,Label
101,Non-USF
102,USF
103,Non-USF
104,USF
105,Non-USF
106,USF
107,Non-USF
108,USF
109,Non-USF
110,Non-USF
111,USF
112,Non-USF
113,USF
114,Non-USF
115,USF
116,Non-USF
117,USF
118,Non-USF
119,USF
120,Non-USF
121,USF
122,Non-USF
123,USF
124,Non-USF
125,USF
126,Non-USF
127,USF
128,Non-USF
129,Non-USF
130,USF
131,Non-USF
132,USF
133,USF
134,Non-USF
135,USF
136,USF
137,USF
138,Non-USF
139,USF
140,Non-USF
141,Non-USF
142,USF
143,Non-USF
144,USF
145,Non-USF
146,Non-USF
147,Non-USF
148,Non-USF
149,USF
150,Non-USF
151,USF
152,Non-USF
153,USF
154,Non-USF
155,USF
156,Non-USF
157,Non-USF
158,USF
159,Non-USF
160,USF
161,Non-USF
162,USF
163,Non-USF
164,USF
165,Non-USF
166,Non-USF
167,Non-USF
168,USF
169,Non-USF
170,USF
171,USF
172,USF
173,USF
174,USF
175,USF
176,USF
177,USF
178,Non-USF
179,USF
180,USF
181,USF
182,USF
183,USF
184,USF
185,USF
186,USF
187,USF
188,Non-USF
189,USF
190,USF
191,USF
192,USF
193,USF
194,USF
195,USF
196,USF
197,USF
198,USF
199,USF
200,Non-USF
201,USF
202,USF
203,USF
204,USF
205,USF
206,USF
207,USF
208,USF
209,USF
210,USF
211,USF
212,USF
213,USF
214,USF
215,USF
216,USF
217,USF
218,USF
219,USF
220,USF
221,USF
222,USF
223,USF
224,USF
225,USF
226,USF
227,USF
228,USF
229,USF
230,USF
231,Non-USF
232,USF
233,USF
234,USF
235,USF
236,Non-USF
237,USF
238,Non-USF
239,USF
240,Non-USF
241,USF
242,Non-USF
243,USF
244,Non-USF
245,USF
246,Non-USF
247,USF
248,Non-USF
249,USF
250,Non-USF
251,USF
252,Non-USF
253,USF
254,Non-USF
255,USF
256,Non-USF
257,USF
258,Non-USF
259,USF
260,Non-USF
261,USF
262,Non-USF
263,USF
264,Non-USF
265,USF
266,Non-USF
267,USF
268,Non-USF
269,USF
270,Non-USF
271,USF
272,Non-USF
273,USF
274,Non-USF
275,USF
276,Non-USF
277,USF
278,Non-USF
279,USF
280,Non-USF
281,USF
282,Non-USF
283,USF
284,Non-USF
285,Non-USF
286,Non-USF
287,USF
288,Non-USF
289,USF
290,Non-USF
291,USF
292,Non-USF
293,USF
294,Non-USF
295,USF
296,Non-USF
297,USF
298,Non-USF
299,USF
300,Non-USF
301,USF
302,Non-USF
303,USF
304,Non-USF
305,USF
306,USF
307,Non-USF
308,USF
309,Non-USF
310,USF
311,Non-USF
312,USF
313,Non-USF
314,USF
315,Non-USF
316,USF
317,Non-USF
318,USF
319,Non-USF
320,USF
321,Non-USF
322,USF
323,Non-USF
324,USF
325,Non-USF
326,USF
327,Non-USF
328,USF
329,Non-USF
330,Non-USF
331,Non-USF
332,Non-USF
333,Non-USF
334,Non-USF
335,Non-USF
336,Non-USF
337,Non-USF
338,Non-USF
339,Non-USF
340,Non-USF
341,Non-USF
342,Non-USF
343,Non-USF
344,Non-USF
345,Non-USF
346,Non-USF
347,Non-USF
348,Non-USF
349,Non-USF
350,Non-USF
351,Non-USF
352,Non-USF
353,Non-USF
354,Non-USF
355,Non-USF
356,Non-USF
357,Non-USF
358,Non-USF
359,Non-USF
360,Non-USF
361,Non-USF
362,Non-USF
363,Non-USF
364,Non-USF
365,Non-USF
366,Non-USF
367,Non-USF
368,Non-USF
369,Non-USF
370,Non-USF
371,Non-USF
372,Non-USF
373,Non-USF
374,Non-USF
375,Non-USF
376,Non-USF
377,Non-USF
378,Non-USF
379,Non-USF
380,USF
381,USF
382,Non-USF
383,USF
384,USF
385,Non-USF
386,USF
387,Non-USF
388,USF
389,USF
390,Non-USF
391,USF
392,Non-USF
393,USF
394,Non-USF
395,USF
396,Non-USF
397,USF
398,Non-USF
399,USF
400,Non-USF
401,Non-USF
402,Non-USF
403,USF
404,Non-USF
405,USF
406,Non-USF
407,USF
408,Non-USF
409,USF
410,Non-USF
411,USF
412,Non-USF
413,USF
414,Non-USF
415,USF
416,Non-USF
417,USF
418,Non-USF
419,USF
420,Non-USF
421,USF
422,Non-USF
423,USF
424,Non-USF
425,USF
426,Non-USF
427,USF
428,Non-USF
429,USF
430,Non-USF
431,USF
432,Non-USF
433,Non-USF
434,USF
435,Non-USF
436,Non-USF
437,USF
438,Non-USF
439,USF
440,Non-USF
441,USF
442,Non-USF
443,USF
444,Non-USF
445,USF
446,Non-USF
447,USF
448,Non-USF
449,USF
450,USF
451,Non-USF
452,USF
453,Non-USF
454,Non-USF
455,Non-USF
456,USF
457,Non-USF
458,USF
459,Non-USF
460,Non-USF
461,Non-USF
462,USF
463,Non-USF
464,Non-USF
465,Non-USF
466,USF
467,Non-USF
468,Non-USF
469,USF
470,Non-USF
471,Non-USF
472,Non-USF
473,Non-USF
474,USF
475,Non-USF
